name,version,総検出数,内包数,使用回数
apt,2.6.1,141,1,141
bash,5.2.15-2+b2,143,1,143
binutils,2.40-2,229,40,5
binutils-common,2.40-2,229,40,5
binutils-x86-64-linux-gnu,2.40-2,229,40,5
bsdutils,1:2.38.1-5+b1,141,1,141
coreutils,9.1-1,286,2,143
cpp-12,12.2.0-14,56,2,28
dirmngr,2.2.40-1.1,30,1,30
g++-12,12.2.0-14,50,2,25
gcc-12,12.2.0-14,54,2,27
gcc-12-base,12.2.0-14,282,2,141
gnupg,2.2.40-1.1,30,1,30
gnupg-l10n,2.2.40-1.1,30,1,30
gnupg-utils,2.2.40-1.1,30,1,30
gpg,2.2.40-1.1,31,1,31
gpg-agent,2.2.40-1.1,31,1,31
gpg-wks-client,2.2.40-1.1,30,1,30
gpg-wks-server,2.2.40-1.1,30,1,30
gpgconf,2.2.40-1.1,31,1,31
gpgsm,2.2.40-1.1,30,1,30
gpgv,2.2.40-1.1,141,1,141
krb5-locales,1.20.1-2+deb12u1,8,1,8
libaom3,3.6.0-1,22,1,22
libapt-pkg6.0,2.6.1,141,1,141
libasan8,12.2.0-14,54,2,27
libatomic1,12.2.0-14,54,2,27
libbinutils,2.40-2,229,40,5
libblkid1,2.38.1-5+b1,142,1,142
libc-bin,2.36-9+deb12u3,335,9,37
libc-dev-bin,2.36-9+deb12u3,114,9,12
libc-devtools,2.36-9+deb12u3,35,7,5
libc6,2.36-9+deb12u3,349,9,38
libc6-dev,2.36-9+deb12u3,121,9,13
libcc1-0,12.2.0-14,54,2,27
libctf-nobfd0,2.40-2,229,40,5
libctf0,2.40-2,229,40,5
libdav1d6,1.0.0-2,22,1,22
libde265-0,1.0.11-1,44,2,22
libgcc-12-dev,12.2.0-14,54,2,27
libgcc-s1,12.2.0-14,284,2,142
libgcrypt20,1.10.1-3,143,2,71
libgnutls30,3.7.9-2,145,1,145
libgomp1,12.2.0-14,70,2,35
libgprofng0,2.40-2,229,40,5
libgssapi-krb5-2,1.20.1-2+deb12u1,39,1,39
libheif1,1.15.1-1,22,1,22
libitm1,12.2.0-14,54,2,27
libjansson4,2.14-2,29,1,29
libjbig0,2.1-6.1,32,1,32
libk5crypto3,1.20.1-2+deb12u1,39,1,39
libkrb5-3,1.20.1-2+deb12u1,39,1,39
libkrb5support0,1.20.1-2+deb12u1,39,1,39
libldap-2.5-0,2.5.13+dfsg-5,275,5,55
libldap-common,2.5.13+dfsg-5,95,5,19
liblsan0,12.2.0-14,54,2,27
libmount1,2.38.1-5+b1,142,1,142
libnghttp2-14,1.52.0-1,54,1,54
libperl5.36,5.36.0-7,117,4,29
libpng16-16,1.6.39-2,37,2,18
libpython3.11,3.11.2-6,75,5,15
libpython3.11-dev,3.11.2-6,65,5,13
libpython3.11-minimal,3.11.2-6,160,5,32
libpython3.11-stdlib,3.11.2-6,160,5,32
libquadmath0,12.2.0-14,54,2,27
libsmartcols1,2.38.1-5+b1,141,1,141
libsqlite3-0,3.40.1-2,128,4,32
libssl3,3.0.11-1~deb12u2,93,3,31
libstdc++-12-dev,12.2.0-14,54,2,27
libstdc++6,12.2.0-14,284,2,142
libsystemd0,252.17-1~deb12u1,172,4,43
libtiff6,4.5.0-6,510,17,30
libtsan2,12.2.0-14,54,2,27
libubsan1,12.2.0-14,54,2,27
libudev1,252.17-1~deb12u1,172,4,43
libuuid1,2.38.1-5+b1,143,1,143
linux-libc-dev,6.1.55-1,1605,132,12
login,1:4.13+dfsg1-1+b1,705,5,141
mount,2.38.1-5+b1,141,1,141
openssl,3.0.11-1~deb12u2,84,3,28
passwd,1:4.13+dfsg1-1+b1,705,5,141
patch,2.7.6-7,532,4,133
perl,5.36.0-7,109,4,27
perl-base,5.36.0-7,435,4,108
perl-modules-5.36,5.36.0-7,117,4,29
python3-pip,23.0.1+dfsg-1,18,2,9
python3.11,3.11.2-6,160,5,32
python3.11-dev,3.11.2-6,65,5,13
python3.11-minimal,3.11.2-6,160,5,32
sudo,1.9.13p3-1+deb12u1,7,1,7
sysvinit-utils,3.06-4,141,1,141
tar,1.34+dfsg-1.2,429,3,143
util-linux,2.38.1-5+b1,141,1,141
util-linux-extra,2.38.1-5+b1,141,1,141
vim,2:9.0.1378-2,304,19,16
vim-common,2:9.0.1378-2,304,19,16
vim-runtime,2:9.0.1378-2,304,19,16
xxd,2:9.0.1378-2,133,19,7
zlib1g,1:1.2.13.dfsg-1,145,1,145
zlib1g-dev,1:1.2.13.dfsg-1,24,1,24
grpc,1.52.0,3,3,1
