onlyoffice/4testing-docspace-doceditor,2.0.0.33,2023/11/15,343,72,58,2,2,477
vmware/kube-fluentd-operator,v1.18.1,2023/11/07,0,2,2,0,0,4
vmware/vs-openfaas-watchdog,revbf667b8,2017/12/11,211,543,569,143,35,1501
balenalib/parallella-debian-golang,20230904,2023/09/09,442,111,73,9,0,635
vmware/vsan-prometheus-exporter,v20210717,2021/07/17,15,96,110,45,0,266
rancher/vm-frontend,v0.2.0,2019/03/07,232,803,873,256,33,2197
circleci/builder-base,1.1,2017/01/11,304,355,22,2,0,683
bitnami/redis-exporter,1.55.0,2023/11/09,74,12,8,2,0,96
balena/rpi-supervisor-base,v1.4.7,2019/05/28,null
balenalib/qemux86-64-alpine-node,20231106,2023/11/07,0,1,5,0,0,6
ubuntu/apache2,2.4-23.04_edge,2023/11/16,13,4,0,0,0,17
rancher/hardened-cluster-autoscaler,v1.8.6-build20231010-s390x,2023/10/10,2,5,13,1,2,23
graphcore/poplar-minimal,3.3.0,2023/07/03,32,11,0,0,0,43
airbyte/destination-elasticsearch-strict-encrypt,0.1.6,2022/10/26,60,180,145,2,0,387
bitnami/express,4.18.2,2023/11/03,98,92,91,30,0,311
greenbone/boreas,v22.5.0,2023/05/02,90,36,30,4,0,160
rancher/nginx-ingress-controller-chroot,nginx-1.9.4-hardened1rc6-s390x,2023/10/26,2,2,14,0,0,18
balenalib/spacely-tx2-debian,20231106,2023/11/07,114,20,29,4,0,167
vmware/vs-secret-store,v0.0.1,2017/11/28,15,81,98,70,0,264
circleci/nomad-metrics,1.0,2020/11/17,0,1,0,0,0,1
balenalib/colibri-imx6dl-openjdk,20210602,2021/06/05,230,232,145,39,8,654
balenalib/i386-alpine-openjdk,8-20230911,2023/09/11,8,8,8,2,0,26
circleci/ecr-login,0.1.0-circle8,2020/05/27,null
intel/trusted-certificate-issuer,0.5.0,2023/03/10,51,45,1,0,0,97
balenalib/nitrogen6x-debian-python,20220604,2022/06/12,124,81,76,20,0,301
grafana/loki-canary-test,canary-test-58315f7-WIP,2022/09/23,0,12,16,0,0,28
